Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL
Courtney Lee,48.8,44.7,85.7,4.5,0.5,1.3,0.3,0.8
Damion Lee,41.699999999999996,35.6,87.3,12.7,2.7,4.9,0.1,1.0
Alex Len,55.50000000000001,27.1,64.8,8.0,0.9,5.8,0.9,0.4
Kawhi Leonard,47.0,37.8,88.6,27.1,4.9,7.1,0.6,1.8
Meyers Leonard,50.9,41.4,64.3,6.1,1.1,5.1,0.3,0.3
Caris LeVert,42.5,36.4,71.1,18.7,4.4,4.2,0.2,1.2
Damian Lillard,46.300000000000004,40.1,88.8,30.0,8.0,4.3,0.3,1.1
Nassir Little,43.0,23.7,63.6,3.6,0.5,2.3,0.3,0.3
Kevon Looney,36.7,7.1,75.0,3.4,1.0,3.3,0.3,0.6
Brook Lopez,43.5,31.4,83.6,12.0,1.5,4.6,2.4,0.7
Robin Lopez,49.2,33.300000000000004,52.800000000000004,5.4,0.7,2.4,0.7,0.2
Kevin Love,45.0,37.4,85.39999999999999,17.6,3.2,9.8,0.3,0.6
Kyle Lowry,41.6,35.199999999999996,85.7,19.4,7.5,5.0,0.4,1.4
Timothé Luwawu-Cabarrot,43.5,38.800000000000004,85.2,7.8,0.6,2.7,0.1,0.4
Trey Lyles,44.6,38.7,73.3,6.4,1.1,5.7,0.4,0.4
Daryl Macon,33.300000000000004,50.0,0.0,0.8,0.3,0.0,0.0,0.0
J.P. Macura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Magette,33.300000000000004,25.0,50.0,1.5,0.6,0.8,0.1,0.4
Ian Mahinmi,49.5,19.2,61.9,7.4,1.3,5.7,1.2,0.8
Thon Maker,48.199999999999996,34.4,66.4,4.7,0.7,2.8,0.7,0.4
Terance Mann,46.800000000000004,35.0,66.7,2.4,1.3,1.3,0.1,0.3
Boban Marjanović,57.3,23.5,75.4,6.6,0.5,4.5,0.2,0.2
Lauri Markkanen,42.5,34.4,82.39999999999999,14.7,1.5,6.3,0.5,0.8
Caleb Martin,44.0,54.1,81.0,6.2,1.3,2.1,0.4,0.7
Cody Martin,43.0,23.400000000000002,64.60000000000001,5.0,2.0,3.3,0.2,0.8
Jeremiah Martin,45.300000000000004,27.800000000000004,78.60000000000001,7.1,2.0,1.1,0.2,0.8
Kelan Martin,39.2,26.0,96.8,6.4,0.7,3.1,0.3,0.2
Frank Mason III,45.1,28.599999999999998,58.8,6.9,3.2,2.1,0.1,0.6
